Time,Temp_C,Air_Vel_m/s_10m,Prec_m/h,Glo_Sol_Ir_W/m2,RH_%,Soil_Temp_320cm
2024-04-01T00:00,10.9,4.2,0.0,0.0,82.0,5.1
2024-04-01T01:00,10.7,4.6,0.0,0.0,82.0,5.1
2024-04-01T02:00,10.3,2.2,0.0,0.0,84.0,5.1
2024-04-01T03:00,10.3,2.3,0.0,0.0,84.0,5.1
2024-04-01T04:00,10.0,2.0,0.0,0.0,85.0,5.1
2024-04-01T05:00,9.9,2.0,0.0,22.0,87.0,5.1
2024-04-01T06:00,10.6,2.4,0.0,111.0,84.0,5.1
2024-04-01T07:00,11.6,2.4,0.0,228.0,79.0,5.1
2024-04-01T08:00,13.6,2.2,0.0,327.0,71.0,5.1
2024-04-01T09:00,15.4,3.6,0.0,435.0,62.0,5.1
2024-04-01T10:00,16.6,3.0,0.0,482.0,58.0,5.1
2024-04-01T11:00,15.9,3.1,0.0,476.0,60.0,5.1
2024-04-01T12:00,12.9,4.2,0.0,449.0,67.0,5.1
2024-04-01T13:00,13.6,2.6,0.0,335.0,65.0,5.1
2024-04-01T14:00,12.9,4.0,0.0,265.0,67.0,5.1
2024-04-01T15:00,11.5,2.1,0.0,224.0,72.0,5.1
2024-04-01T16:00,10.5,2.7,0.0,103.0,78.0,5.1
2024-04-01T17:00,9.3,1.8,0.0,24.0,82.0,5.1
2024-04-01T18:00,5.9,2.9,0.0,0.0,87.0,5.1
2024-04-01T19:00,5.4,1.3,0.0,0.0,90.0,5.1
2024-04-01T20:00,4.1,1.5,0.0,0.0,94.0,5.1
2024-04-01T21:00,3.7,1.3,0.0,0.0,96.0,5.1
2024-04-01T22:00,3.2,0.6,0.0,0.0,97.0,5.1
2024-04-01T23:00,3.6,1.9,0.0,0.0,98.0,5.1
2024-04-02T00:00,4.0,3.5,0.0,0.0,99.0,5.1
2024-04-02T01:00,5.2,4.5,0.0,0.0,95.0,5.1
2024-04-02T02:00,5.0,5.4,0.0,0.0,94.0,5.1
2024-04-02T03:00,4.5,5.5,0.0,0.0,96.0,5.1
2024-04-02T04:00,4.1,5.5,0.0,0.0,98.0,5.1
2024-04-02T05:00,3.9,5.1,0.0,8.0,96.0,5.1
2024-04-02T06:00,3.5,6.5,0.0,31.0,97.0,5.1
2024-04-02T07:00,3.2,6.1,0.0,33.0,96.0,5.1
2024-04-02T08:00,2.7,6.9,0.0021000000000000003,36.0,98.0,5.1
2024-04-02T09:00,2.7,7.3,0.0,47.0,96.0,5.1
2024-04-02T10:00,2.9,7.3,0.0,58.0,93.0,5.1
2024-04-02T11:00,3.1,7.7,0.0,47.0,91.0,5.1
2024-04-02T12:00,3.3,7.3,0.0,62.0,91.0,5.1
2024-04-02T13:00,3.0,7.8,0.0014,28.0,94.0,5.1
2024-04-02T14:00,2.7,8.9,0.004200000000000001,20.0,95.0,5.1
2024-04-02T15:00,2.7,8.4,0.0038,10.0,94.0,5.1
2024-04-02T16:00,2.3,8.6,0.003,4.0,94.0,5.1
2024-04-02T17:00,1.8,8.7,0.0028,1.0,93.0,5.1
2024-04-02T18:00,1.5,8.4,0.0004,0.0,93.0,5.1
2024-04-02T19:00,1.1,7.1,0.0028,0.0,93.0,5.1
2024-04-02T20:00,0.8,7.3,0.0001,0.0,93.0,5.1
2024-04-02T21:00,0.6,8.4,0.0,0.0,94.0,5.1
2024-04-02T22:00,0.5,7.3,0.0,0.0,95.0,5.1
2024-04-02T23:00,0.4,7.2,0.0001,0.0,96.0,5.1
2024-04-03T00:00,0.3,6.8,0.0001,0.0,97.0,5.1
2024-04-03T01:00,0.4,6.3,0.0,0.0,97.0,5.1
2024-04-03T02:00,0.5,6.9,0.0,0.0,96.0,5.1
2024-04-03T03:00,-0.2,7.3,0.0,0.0,97.0,5.1
2024-04-03T04:00,-0.5,6.4,0.0,0.0,95.0,5.1
2024-04-03T05:00,-0.7,7.4,0.0,3.0,93.0,5.1
2024-04-03T06:00,-0.9,7.4,0.0,12.0,90.0,5.1
2024-04-03T07:00,-1.4,7.5,0.0,23.0,91.0,5.1
2024-04-03T08:00,-1.3,8.5,0.0,31.0,88.0,5.1
2024-04-03T09:00,-1.5,6.9,0.0002,49.0,93.0,5.1
2024-04-03T10:00,-1.1,7.3,0.0002,79.0,85.0,5.1
2024-04-03T11:00,-0.8,6.5,0.0,78.0,84.0,5.1
2024-04-03T12:00,-0.5,5.8,0.0,75.0,82.0,5.1
2024-04-03T13:00,-0.3,4.5,0.0,79.0,81.0,5.1
2024-04-03T14:00,-0.3,5.0,0.0,51.0,78.0,5.1
